Headline,Data,Content,Soruce,URL,Cleaned_Content
SBB and Canton of Aargau are also affected by hacker attack,2023-06-11,"The Swiss Federal Railways (SBB) and the canton of Aargau are affected by the cyber attack on the company Xplain. Data from both bodies have been stolen, as the SBB and the canton of Aargau announced on Sunday at the request of the Keystone-SDA news agency. The NZZ on Sunday has on the 11th. June reported on it. Data had been drained as part of a data leak, according to SBB. The canton of Aargau also confirmed that it was affected by the attack on the IT service provider Xplain. A spokeswoman for the canton said on request: ""According to today's state of knowledge, we assume that in addition to business correspondence, a small volume of operational data from error logs that were at Xplain for analysis is also affected.""
The exact scope of data theft will be further analyzed internally as well as by Xplain and federal agencies, it continued. Among other things, Xplain has developed applications for the cantonal enforcement services.

The attackers used a vulnerability on Xplain's servers, which housed this data. It is a so-called ransomware attack in which data is stolen and then encrypted.
Infamous hacker gang

The attack on Xplain was on the 23rd. May by Watson publicly known. Among other things, the Federal Office of Police (Fedpol), the Federal Office of Customs and Border Security (BAZG) and various cantonal police are also affected.

Who is behind the hacker attack and data theft is not known. A corresponding threatening letter was published on the darknet page of the ransomware gang Play to put pressure on the victim. A few gigabytes of data have already been published there.

The attack on Xplain has no connection with the one on the parliament website last Wednesday, said a spokeswoman for the National Center for Cyber Security (NCSC) last Thursday.

The Federal Prosecutor's Office (BA) has opened proceedings for the attack on the Swiss Parliament.

According to reports of the Tamedia newspapers, proceedings have also been initiated by the Bernese Public Prosecutor's Office regarding the attack on Xplain. Previously, waton had reported that those responsible had filed a complaint.In recent years, cyber attacks on companies, administrations or even the media have increased. Only recently, the large media houses CH Media and NZZ were affected. SBB was already affected by a cyber attack in February 2023.",Watson ,https://www.watson.ch/schweiz/digital/811971487-auch-sbb-und-kanton-aargau-von-hackerangriff-betroffen,swiss federal railways sbb canton aargau affected cyber attack company xplain data bodies stolen sbb canton aargau announced sunday request keystonesda news agency nzz sunday 11th june reported data drained part data leak according sbb canton aargau also confirmed affected attack service provider xplain spokeswoman canton said request according todays state knowledge assume addition business correspondence small volume operational data error logs xplain analysis also affected exact scope data theft analyzed internally well xplain federal agencies continued among things xplain developed applications cantonal enforcement services attackers used vulnerability xplains servers housed data socalled ransomware attack data stolen encrypted infamous hacker gang attack xplain 23rd may watson publicly known among things federal office police fedpol federal office customs border security bazg various cantonal police also affected behind hacker attack data theft known corresponding threatening letter published darknet page ransomware gang play put pressure victim gigabytes data already published attack xplain connection one parliament website last wednesday said spokeswoman national center cyber security ncsc last thursday federal prosecutors office ba opened proceedings attack swiss parliament according reports tamedia newspapers proceedings also initiated bernese public prosecutors office regarding attack xplain previously waton reported responsible filed complaintin recent years cyber attacks companies administrations even media increased recently large media houses ch media nzz affected sbb already affected cyber attack february 2023
SBB and Canton of Aargau are also affected by hacker attack,2023-11-06,"The Swiss Federal Railways (SBB) and the canton of Aargau are affected by the cyber attack on the company Xplain. Data from both bodies have been stolen, as the SBB and the canton of Aargau announced on Sunday at the request of the Keystone-SDA news agency. The ""NZZ am Sonntag"" had first reported on this. Data had flown away as part of a data leak, it was said to SBB. The canton of Aargau also confirmed that it was affected by the attack on the IT service provider Xplain: ""According to the current state of knowledge, we assume that in addition to business correspondence, a small volume of operational data from error logs that were at Xplain for analysis is also affected,"" said a spokeswoman for the canton on request. The exact scope of data theft will be further analyzed internally as well as by Xplain and federal agencies, it continued. Among other things, Xplain has developed applications for the cantonal enforcement services. The attackers used a vulnerability on Xplain's servers, which housed this data. It is a so-called ransomware attack in which data is stolen and then encrypted. The attack on Xplain was on the 3rd. June known. Among other things, the Federal Office of Police (Fedpol), the Federal Office of Customs and Border Security (BAZG) and cantonal police are also affected. However, the attack on Xplain has no connection with that on the parliamentary website last Wednesday, said a spokeswoman for the National Center for Cyber Security (NCSC) last Thursday.

The Federal Prosecutor's Office (BA) has opened proceedings for the attack on the Swiss Parliament. According to reports of the Tamedia newspapers, proceedings have also been initiated by the Bernese Public Prosecutor's Office regarding the attack on Xplain.

In recent years, cyber attacks on companies, administrations or even the media have increased. Only recently, the large media houses CH Media and NZZ were affected. SBB was already affected by a cyber attack in February 2023.",HANDELSZEITUNG,https://www.handelszeitung.ch/newsticker/auch-sbb-und-kanton-aargau-von-hackerangriff-betroffen-609936,swiss federal railways sbb canton aargau affected cyber attack company xplain data bodies stolen sbb canton aargau announced sunday request keystonesda news agency nzz sonntag first reported data flown away part data leak said sbb canton aargau also confirmed affected attack service provider xplain according current state knowledge assume addition business correspondence small volume operational data error logs xplain analysis also affected said spokeswoman canton request exact scope data theft analyzed internally well xplain federal agencies continued among things xplain developed applications cantonal enforcement services attackers used vulnerability xplains servers housed data socalled ransomware attack data stolen encrypted attack xplain 3rd june known among things federal office police fedpol federal office customs border security bazg cantonal police also affected however attack xplain connection parliamentary website last wednesday said spokeswoman national center cyber security ncsc last thursday federal prosecutors office ba opened proceedings attack swiss parliament according reports tamedia newspapers proceedings also initiated bernese public prosecutors office regarding attack xplain recent years cyber attacks companies administrations even media increased recently large media houses ch media nzz affected sbb already affected cyber attack february 2023
Swiss companies do not want to report IT hacks because they distrust the federal government,2023-09-19,"Important companies such as Swisscom or SBB should better inform the state about cyber attacks, says Parliament. But the economy is in the way. In June, pro-Russian hackers paralyzed various federal websites. In the same month, hackers stole sensitive data from the company Xplain in Interlaken BE, which worked for the Confederation. The federal government had not checked the safety of the company once in the last 15 years, as this editorial team revealed last week. The federal credibility in terms of data security has been severely damaged since then at the latest. The incidents have given a new dimension to the discussion of the extent to which providers of important infrastructures should entrust sensitive data to the state. In the current autumn session, the parliamentary chambers are negotiating this issue within the framework of the new Information Security Act.

In principle, all parties involved agree: If hackers try to penetrate the systems of a critical infrastructure provider, the state must know this. This allows him to report the details as soon as possible to all other potentially threatened organizations so that they can take the necessary measures to protect them. In addition to the authorities of all three state levels, the operators of important infrastructures should also be subject to reporting for such an attack. These include, for example, energy companies, telecom companies, banks, but also the post office, SBB and the three state airports of Zurich, Basel and Geneva.

However, disagreement has ignited on the question of whether, in addition to attacks that have already taken place, they must also report vulnerabilities in their systems that they have discovered themselves. So far, this is voluntary. An example of this could be that an energy company has a security check carried out by a third-party company and that it comes across a poorly protected system.

A report to the National Center for Cyber Security (NCSC) would then be provided within 24 hours. That would probably be too little time for a company to fix the vulnerability before it has to report its existence to the NCSC.

""The danger is great that the reporting obligation for IT vulnerabilities does not strengthen the security of the systems of critical infrastructures, but potentially endangers it,"" wrote an alliance of 26 large companies and associations recently in a letter to all members of the National Council. A report of vulnerabilities and the associated collection at a central, state authority presupposes that the security system of that authority is absolutely safe.

The compromise probably fails

Then the authors of the letter mention the recent attacks on the federal government. The NCSC, whose communication channels to the infrastructure operators and their systems themselves, would become a worthwhile target for attackers through the proposed measure. If they were successful, they could potentially very easily penetrate the systems of several companies and cause great damage to them and the Swiss economy. The National Council did not heed the request of the companies and associations last week. The reporting obligation is too important in principle, found a clear center-left majority. She sent the law back to the Council of States with the order to work out a solution with which the economy could also come to an dear. The Council of States will decide on Tuesday.

A compromise is now up for discussion: According to this, weak points should also be reportable. But, among other things, the deadline for reporting is to be increased from 24 hours to 7 days. In many cases, this would be enough time to close the vulnerability yourself first.

In addition, reports should be submitted anonymously after the compromise proposal. So it would be more difficult for hackers, should they penetrate the communication channels to and from the NCSC, to locate the originally affected company.

However, the infrastructure managers reject the compromise proposal. It also fell significantly under the preliminary advisory commission of the Council of States. It is therefore likely that the affected companies will be able to keep their IT problems to themselves in the future, if no attack has taken place.",tagesanzeiger,http://tagesanzeiger.ch/search?q=SBB%20Cyberangriff,important companies swisscom sbb better inform state cyber attacks says parliament economy way june prorussian hackers paralyzed various federal websites month hackers stole sensitive data company xplain interlaken worked confederation federal government checked safety company last 15 years editorial team revealed last week federal credibility terms data security severely damaged since latest incidents given new dimension discussion extent providers important infrastructures entrust sensitive data state current autumn session parliamentary chambers negotiating issue within framework new information security act principle parties involved agree hackers try penetrate systems critical infrastructure provider state must know allows report details soon possible potentially threatened organizations take necessary measures protect addition authorities three state levels operators important infrastructures also subject reporting attack include example energy companies telecom companies banks also post office sbb three state airports zurich basel geneva however disagreement ignited question whether addition attacks already taken place must also report vulnerabilities systems discovered far voluntary example could energy company security check carried thirdparty company comes across poorly protected system report national center cyber security ncsc would provided within 24 hours would probably little time company fix vulnerability report existence ncsc danger great reporting obligation vulnerabilities strengthen security systems critical infrastructures potentially endangers wrote alliance 26 large companies associations recently letter members national council report vulnerabilities associated collection central state authority presupposes security system authority absolutely safe compromise probably fails authors letter mention recent attacks federal government ncsc whose communication channels infrastructure operators systems would become worthwhile target attackers proposed measure successful could potentially easily penetrate systems several companies cause great damage swiss economy national council heed request companies associations last week reporting obligation important principle found clear centerleft majority sent law back council states order work solution economy could also come dear council states decide tuesday compromise discussion according weak points also reportable among things deadline reporting increased 24 hours 7 days many cases would enough time close vulnerability first addition reports submitted anonymously compromise proposal would difficult hackers penetrate communication channels ncsc locate originally affected company however infrastructure managers reject compromise proposal also fell significantly preliminary advisory commission council states therefore likely affected companies able keep problems future attack taken place
SBB and Canton of Aargau are also affected by hacker attack,2023-11-06,"The Swiss Federal Railways and the canton of Aargau are affected by the cyber attack on the company Xplain. Data from both bodies have been stolen, as the SBB and the canton announced on Sunday.

The ""NZZ am Sonntag"" had first reported on this. Data had been drained as part of a data leak, it was said to the SBB. The canton of Aargau also confirmed that it was affected by the attack on the IT service provider Xplain: ""According to today's state of knowledge, we assume that in addition to business correspondence, a small volume of operational data from error logs that were at Xplain for analysis is also affected,"" said a spokeswoman for the canton on request.

The exact extent of the data theft will be further analyzed internally as well as by Xplain and federal agencies, it was said. Among other things, Xplain has developed applications for the cantonal enforcement services. The attackers used a vulnerability on Xplain's servers, which housed this data. It is a so-called ransomware attack in which data is stolen and then encrypted.",tagesanzeiger,https://www.tagesanzeiger.ch/auch-sbb-und-kanton-aargau-von-hackerangriff-betroffen-392324009259,swiss federal railways canton aargau affected cyber attack company xplain data bodies stolen sbb canton announced sunday nzz sonntag first reported data drained part data leak said sbb canton aargau also confirmed affected attack service provider xplain according todays state knowledge assume addition business correspondence small volume operational data error logs xplain analysis also affected said spokeswoman canton request exact extent data theft analyzed internally well xplain federal agencies said among things xplain developed applications cantonal enforcement services attackers used vulnerability xplains servers housed data socalled ransomware attack data stolen encrypted
SBB and canton of Aargau affected by data leak,2023-11-06,"The hacker group Play stole data from the federal railways and cantonal authorities. SBB does not say whether SBB customer data is also affected. SBB and the canton of Aargau are affected by a hacker attack. This is reported by the ""NZZ on Sunday"". The attackers took advantage of a vulnerability at the company Xplain. The Swiss company offers government software.
SBB confirms to Blick that it has been informed by Xplain that data has flowed away as part of a data leak. The federal railways do not want to say what kind of data is, as there are ""ongoing investigations"" about this, as a SBB spokesman explains. Public prosecutor's office affected?
It was known so far that the hackers captured data from the Federal Office of Police (Fedpol), the Federal Office for Customs and Border Security (BAZG) and cantonal police. The cybercriminals apparently tried to blackmail the company Xplain. In the meantime, part of the data has been published on the darknet.
Another victim is the canton of Aargau. Data is also said to have been stolen from this, reports the ""NZZ am Sonntag"". In the past, the cantonal public prosecutor's office, the Office for Migration and Integration and the enforcement services, among others, have purchased the services of the software company.
Not the first cyber attack on SBB
The Aargau Department of Economics writes to the ""NZZ am Sonntag"" about the stolen data: ""According to today's state of knowledge, we assume that in addition to business correspondence, a small volume of operational data from error logs that were at Xplain for analysis is also affected."" The exact scope will be analyzed.
Behind the attack is said to be the hacker group Play, which in recent months also carried out cyber attacks on the media houses NZZ and CH-Media, among other things.In the process, the attackers invaded the computer system, stole data and encrypted it. Then the companies were blackmailed, in the case of non-payment, the data material was gradually published on the darknet.
This is not the first time that the SBB has lost data. Last year, SBB was targeted by a hacker who stole one million customer data. As Blick research shows at the time, hundreds of millions of customer data were on the presentation plate for years.",Blick,https://www.blick.ch/politik/cyberangriff-groesser-als-angenommen-sbb-und-kanton-aargau-von-datenleck-betroffen-id18655902.html,hacker group play stole data federal railways cantonal authorities sbb say whether sbb customer data also affected sbb canton aargau affected hacker attack reported nzz sunday attackers took advantage vulnerability company xplain swiss company offers government software sbb confirms blick informed xplain data flowed away part data leak federal railways want say kind data ongoing investigations sbb spokesman explains public prosecutors office affected known far hackers captured data federal office police fedpol federal office customs border security bazg cantonal police cybercriminals apparently tried blackmail company xplain meantime part data published darknet another victim canton aargau data also said stolen reports nzz sonntag past cantonal public prosecutors office office migration integration enforcement services among others purchased services software company first cyber attack sbb aargau department economics writes nzz sonntag stolen data according todays state knowledge assume addition business correspondence small volume operational data error logs xplain analysis also affected exact scope analyzed behind attack said hacker group play recent months also carried cyber attacks media houses nzz chmedia among thingsin process attackers invaded computer system stole data encrypted companies blackmailed case nonpayment data material gradually published darknet first time sbb lost data last year sbb targeted hacker stole one million customer data blick research shows time hundreds millions customer data presentation plate years
Swiss government and Federal Railways hit by cyberattacks,2023-06-12,"Swiss federal government websites and the online portal of the Swiss Federal Railways have been victims of malicious online attacks.
Several websites of the federal administration are currently unavailable, Swiss public radio, SRF, reported on Monday.
According to the finance ministry, the sites were hit by a so-called DDoS attack, which aims to overload websites and applications with targeted requests so that they are no longer accessible. No data is lost in a DDoS attack.
The pro-Russian hacker group “NoName” has claimed responsibility for the attack on the federal government on its own Telegram channel, Tages-Anzeiger newspaper said. This group was also behind the attack on the Swiss parliament website (www.parlament.chExternal link) last week.
+ Ransomware attacks on the rise in Switzerland
“Federal IT specialists quickly noticed the attack and are taking steps to restore accessibility to websites and applications as quickly as possible,” the finance ministry said on Monday morning.
+ Hackers steal Swiss police and customs data
The Swiss Federal Railways and the Aargau cantonal authorities have also been affected by an earlier online attack against the Bern-based IT company Xplain, which provides services to federal and cantonal departments.
The national railway company and the canton confirmed to the Swiss News Agency Keystone-SDA that data had been stolen after a ransomware attack. This follows an earlier report in the NZZ am Sonntag newspaper.
The Aargau authorities say “a small volume of operational data linked to error protocols that were analysed at Xplain” is affected by the leak, as well as “commercial correspondence”.
The extent of the data theft is still being analysed by Xplain and the federal authorities. The hackers reportedly used malware to exploit a vulnerability on Xplain servers hosting applications for cantonal services. Ransomware usually blocks all access until a key or an unblocking tool is sent to the victim in exchange for a sum of money.
Far-reaching consequences
The attack on Xplain, revealed on May 23, has had far-reaching consequences. It has affected the Federal Office of Police (Fedpol), the Federal Office of Customs and Border Protection (FOCP) and, according to Le Temps, cantonal police forces. In addition to business correspondence, operational data may also have been affected, according to the National Centre for Cyber Security (NCSC).
After encrypting the stolen data and demanding a ransom from the company, the hackers reportedly published some of the data on the darknet. According to Le Temps, which broke the story, the attack was carried out by the Play group, the same group that recently targeted the Swiss media companies CH Media and NZZ.
There has been a surge in cybercrime in recent years. Cyberattackers have hacked several Swiss private and public targets, with ransomware attacks on the rise.",SWI ,https://www.swissinfo.ch/eng/politics/swiss-government-and-federal-railways-hit-by-cyberattacks/48583086,swiss federal government websites online portal swiss federal railways victims malicious online attacks several websites federal administration currently unavailable swiss public radio srf reported monday according finance ministry sites hit socalled ddos attack aims overload websites applications targeted requests longer accessible data lost ddos attack prorussian hacker group noname claimed responsibility attack federal government telegram channel tagesanzeiger newspaper said group also behind attack swiss parliament website wwwparlamentchexternal link last week ransomware attacks rise switzerland federal specialists quickly noticed attack taking steps restore accessibility websites applications quickly possible finance ministry said monday morning hackers steal swiss police customs data swiss federal railways aargau cantonal authorities also affected earlier online attack bernbased company xplain provides services federal cantonal departments national railway company canton confirmed swiss news agency keystonesda data stolen ransomware attack follows earlier report nzz sonntag newspaper aargau authorities say small volume operational data linked error protocols analysed xplain affected leak well commercial correspondence extent data theft still analysed xplain federal authorities hackers reportedly used malware exploit vulnerability xplain servers hosting applications cantonal services ransomware usually blocks access key unblocking tool sent victim exchange sum money farreaching consequences attack xplain revealed may 23 farreaching consequences affected federal office police fedpol federal office customs border protection focp according le temps cantonal police forces addition business correspondence operational data may also affected according national centre cyber security ncsc encrypting stolen data demanding ransom company hackers reportedly published data darknet according le temps broke story attack carried play group group recently targeted swiss media companies ch media nzz surge cybercrime recent years cyberattackers hacked several swiss private public targets ransomware attacks rise
Hacker finds data security weak spot in Swiss railway system,2022-01-24,"An anonymous hacker gained access to the personal data of thousands of passengers who bought tickets from Swiss Federal Railways. The embarrassing IT security weak spot in the Swisscard system, which has since been fixed, was reported to the Rundschau programmeExternal link on Swiss public television, SRF, on Monday.
The information included the names of the travellers, their date of birth, the number of first- and second-class tickets purchased and the place of departure and destination.
The hacker told Rundschau that the recent attack required no specialist IT knowledge: “The sensitive data was practically public on the internet.”
The data was never made public and has been returned to Swiss Railways. The hacker said they had no criminal intent but merely wanted to expose the problem.
The Federal Data Protection Commissioner was informed of the security breach.
‘Potential for abuse’
“This is a huge meltdown for Swiss Railways,” Otto Hostettler, a journalist and author specialising in internet crime, told Rundschau. “Such data can be sold in hacker forums on the dark web. In the wrong hands it would have great potential for abuse.”
This has been demonstrated by hacks into Swiss municipal databases in recent months, including the towns of Montreux and Rolle in western Switzerland.
The group that hacked the Rolle database posted information on the dark net and warned it could attack other towns, companies or hospitals.
Swiss news magazine Beobachter reported that 2,700 Swiss companies fell victim to ransomware hacks between August 2020 and August 2021. An article in Le Temps newspaper in December estimated that around 2,000 ransomware attacks targeted Switzerland last year.
Swiss companies fear cyberattacks more than Covid-19 disruptions, according to a survey by insurer Allianz published earlier this month.",SWI,https://www.swissinfo.ch/eng/sci-tech/hacker-finds-data-security-weak-spot-in-swiss-railway-system/47287534,anonymous hacker gained access personal data thousands passengers bought tickets swiss federal railways embarrassing security weak spot swisscard system since fixed reported rundschau programmeexternal link swiss public television srf monday information included names travellers date birth number first secondclass tickets purchased place departure destination hacker told rundschau recent attack required specialist knowledge sensitive data practically public internet data never made public returned swiss railways hacker said criminal intent merely wanted expose problem federal data protection commissioner informed security breach potential abuse huge meltdown swiss railways otto hostettler journalist author specialising internet crime told rundschau data sold hacker forums dark web wrong hands would great potential abuse demonstrated hacks swiss municipal databases recent months including towns montreux rolle western switzerland group hacked rolle database posted information dark net warned could attack towns companies hospitals swiss news magazine beobachter reported 2700 swiss companies fell victim ransomware hacks august 2020 august 2021 article le temps newspaper december estimated around 2000 ransomware attacks targeted switzerland last year swiss companies fear cyberattacks covid19 disruptions according survey insurer allianz published earlier month
Hacker attack on federal administration,2023-12-06,"Several websites of the Federal Administration were temporarily no longer accessible.
The reason was a so-called DDoS attack on the systems of the federal administration.
Investigations by the Federal Prosecutor's Office are underway.
The specialists of the Federal Administration had quickly noticed the attack and taken measures to restore the accessibility of the websites and applications as quickly as possible, the Federal Department of Finance (EFD) announced.

The attack apparently applied to the entire federal administration, the National Center for Cyber Security (NCSC) announced on request. At times, a large part of the websites of the federal administration and federal companies as well as several federal applications were not available.

Criminal proceedings against hacker group

The group ""NoName"" has committed itself to the attack online. This group was also behind the attack on parlament.ch that became known last week. The NCSC did not provide any further information on the grouping. According to reports, it is said to be a Russian group. Whether there is a connection with the speech planned for Thursday afternoon by Ukrainian President Volodimir Zelensky before the federal parliament.

Accumulation of cyber attacks
Open the box
The Federal Prosecutor's Office had announced last week that it had opened criminal proceedings due to the attack on the homepage of the parliamentary services. Today's attacks are also the subject of this investigation, the authority announced upon request.

SBB also affected

The SBB was also affected by the DDoS attack. Various online services did not work between about 8 a.m. and 9.45 a.m., as the SBB announced on request. However, the timetable query on SBB Mobile was possible at any time, as was ticket sales via SBB online shop as a guest account, at all ticket machines and in the travel centers.

The problem could be solved in the meantime, SBB announced at noon. All online services would be available normally again.

A DDoS attack (short for Distributed Denial of Service) is about overloading websites and applications with targeted requests in such a way that they are no longer accessible. However, no data flows out.
",SRF,https://www.srf.ch/news/schweiz/ddos-angriff-hackerangriff-auf-bundesverwaltung,several websites federal administration temporarily longer accessible reason socalled ddos attack systems federal administration investigations federal prosecutors office underway specialists federal administration quickly noticed attack taken measures restore accessibility websites applications quickly possible federal department finance efd announced attack apparently applied entire federal administration national center cyber security ncsc announced request times large part websites federal administration federal companies well several federal applications available criminal proceedings hacker group group noname committed attack online group also behind attack parlamentch became known last week ncsc provide information grouping according reports said russian group whether connection speech planned thursday afternoon ukrainian president volodimir zelensky federal parliament accumulation cyber attacks open box federal prosecutors office announced last week opened criminal proceedings due attack homepage parliamentary services todays attacks also subject investigation authority announced upon request sbb also affected sbb also affected ddos attack various online services work 8 945 sbb announced request however timetable query sbb mobile possible time ticket sales via sbb online shop guest account ticket machines travel centers problem could solved meantime sbb announced noon online services would available normally ddos attack short distributed denial service overloading websites applications targeted requests way longer accessible however data flows
Play Ransomware Attack on Xplain Impacts Swiss National Railway and Canton of Aargau,2023-06-14,"In a significant cybersecurity incident, the IT services provider Xplain experienced a Play ransomware attack that had a broader impact than initially estimated. The attack affected the national railway company of Switzerland (FSS) and the canton of Aargau, prompting a Swiss police investigation into Xplain.

Xplain, a Bernese IT company, serves various federal and cantonal government departments, the army, customs, and the Federal Office of Police (Fedpol). The attack on Xplain indirectly affected these major security entities as they all share the same IT service provider.

Threat actors initially published alleged stolen data from Fedpol and the Federal Office for Customs and Border Security (FOCBS) on a Darknet forum. Local media reports suggest that the attackers exploited a vulnerability on Xplain's servers, leading to the Xplain data breach.

Fedpol confirmed the attack but stated that threat actors only accessed simulated, anonymous data used for testing purposes, and the agency's projects were not exposed. FOCBS acknowledged that data exposed in the breach were from correspondence with its clients.

The FSS data leak was first reported by NZZ am Sonntag magazine and later confirmed by the Swiss railway company. The authorities of the canton of Aargau confirmed the data breach and mentioned that a small volume of operational data from error logs at Xplain for analysis might also have been affected.

The investigation is ongoing to determine the full extent of the Play ransomware attack. In a separate incident, the website of the Swiss parliament faced a cyber attack, but it is not linked to the XPlay ransomware attack. The Swiss parliament reported that the attack had been neutralized, with no impact on internal systems or data.

The Xplain data breach, resulting from a Play ransomware attack, had a significant impact on the national Swiss railway company (FSS) and the canton of Aargau. The breach affected multiple government departments and security entities that share the same IT service provider. Investigations are underway to assess the scope of the attack and the compromised data.",tempesttechinca,https://www.tempesttechnica.com.au/blog/play-ransomware-attack-on-xplain-impacts-swiss-national-railway-and-canton-of-aargau,significant cybersecurity incident services provider xplain experienced play ransomware attack broader impact initially estimated attack affected national railway company switzerland fss canton aargau prompting swiss police investigation xplain xplain bernese company serves various federal cantonal government departments army customs federal office police fedpol attack xplain indirectly affected major security entities share service provider threat actors initially published alleged stolen data fedpol federal office customs border security focbs darknet forum local media reports suggest attackers exploited vulnerability xplains servers leading xplain data breach fedpol confirmed attack stated threat actors accessed simulated anonymous data used testing purposes agencys projects exposed focbs acknowledged data exposed breach correspondence clients fss data leak first reported nzz sonntag magazine later confirmed swiss railway company authorities canton aargau confirmed data breach mentioned small volume operational data error logs xplain analysis might also affected investigation ongoing determine full extent play ransomware attack separate incident website swiss parliament faced cyber attack linked xplay ransomware attack swiss parliament reported attack neutralized impact internal systems data xplain data breach resulting play ransomware attack significant impact national swiss railway company fss canton aargau breach affected multiple government departments security entities share service provider investigations underway assess scope attack compromised data
XPLAIN DATA BREACH ALSO IMPACTED THE NATIONAL SWISS RAILWAY FSS,2023-06-18,"
The Play ransomware attack suffered by the IT services provider Xplain also impacted the national railway company of Switzerland (FSS) and the canton of Aargau.

The Play ransomware attack suffered by the IT services provider Xplain is worse than initially estimated, the incident also impacted the national railway company of Switzerland (FSS) and the canton of Aargau.

In early June, Swiss police launched an investigation into the cyber attack that hit the Bernese IT company Xplain, which provides its services to several federal and cantonal government departments, the army, customs, and the Federal Office of Police (Fedpol).

The news of the attack was first reported by the Swiss newspaper Le Temps.

“for the first time, several cantonal police forces, the Swiss army or the Federal Office of Police (Fedpol) are indirectly affected by a cyberattack.” reads Le Temps. “These major players in security have one thing in common: they have the same IT service provider, the Bernese company Xplain, which has just been hacked.”

Threat actors initially published alleged stolen data from the Federal Office of Police (Fedpol) and the Federal Office for Customs and Border Security (FOCBS) on a Darknet forum.

Local media reported that attackers have exploited a vulnerability on the servers of the company.

Both Fedpol and the federal customs office confirmed the attack but attempted to downplay the incident. According to Fedpol, threat actors only had access to simulated, anonymous data for test purposes.

Xplain notified Fedpol about the attack a few days ago, revealed a Fedpol spokesman who added that the projects of the agency were not exposed.

The Federal Office for Customs and Border Security (FOCBS) said data from the FOCBS that were exposed are from correspondence with its clients.

The news of the FSS data leak was initially reported by the magazine NZZ am Sonntag and later confirmed by the Swiss railway company.

The authorities of the canton of Aargau also confirmed the data breach.

“The Aargau authorities said for their part that they assume that “in addition to company correspondence, a small volume of operational data from error logs which was at Xplain for analysis was also affected”.” reported the website RSI.

The authorities are still investigating the security breach to determine the extent of the attack.

This week, the website of the Swiss parliament has been the target of cyber attack as reported by the president of the House of Representatives, Martin Candinas.

“The problems appeared on Wednesday afternoon. At the end of the day, parliament’s services said the attack had been neutralised and that no internal systems or data had been affected. On Thursday morning, however, there were still problems accessing the websiteExternal link.” reported the website SwissInfo.

The attack is not linked to the XPlay ransomware attack.
",secoperations,https://secoperations.wordpress.com/2023/06/18/xplain-data-breach-also-impacted-the-national-swiss-railway-fss/,play ransomware attack suffered services provider xplain also impacted national railway company switzerland fss canton aargau play ransomware attack suffered services provider xplain worse initially estimated incident also impacted national railway company switzerland fss canton aargau early june swiss police launched investigation cyber attack hit bernese company xplain provides services several federal cantonal government departments army customs federal office police fedpol news attack first reported swiss newspaper le temps first time several cantonal police forces swiss army federal office police fedpol indirectly affected cyberattack reads le temps major players security one thing common service provider bernese company xplain hacked threat actors initially published alleged stolen data federal office police fedpol federal office customs border security focbs darknet forum local media reported attackers exploited vulnerability servers company fedpol federal customs office confirmed attack attempted downplay incident according fedpol threat actors access simulated anonymous data test purposes xplain notified fedpol attack days ago revealed fedpol spokesman added projects agency exposed federal office customs border security focbs said data focbs exposed correspondence clients news fss data leak initially reported magazine nzz sonntag later confirmed swiss railway company authorities canton aargau also confirmed data breach aargau authorities said part assume addition company correspondence small volume operational data error logs xplain analysis also affected reported website rsi authorities still investigating security breach determine extent attack week website swiss parliament target cyber attack reported president house representatives martin candinas problems appeared wednesday afternoon end day parliaments services said attack neutralised internal systems data affected thursday morning however still problems accessing websiteexternal link reported website swissinfo attack linked xplay ransomware attack
